"Informazioni cronologiche","How old are you? / Quanti anni hai?","How much do you know the problem of plastic pollution in the ocean? / Quanto conosci il problema dell'inquinamento della plastica negli oceani?","How much important is plastic pollution for you?/ Quanto è importante per te l'inquinamento della plastica?","Do you think sensibilization can help people to reduce the amount of plastic improperly trashed?/  Pensi che la sensibilizzazione possa aiutare la gente a ridurre la quantità di plastica buttata impropriamente?","What kind of stuff would you like to be made starting from recycled plastic? / Che tipo di cose ti piacerebbe fossero realizzate partendo dalla plastica riciclata?","How do you imagine the future of our oceans? / Come immagini il futuro dei nostri oceani? ","Imagine you are on one of those plastic islands. How do you feel? /Immagina di essere su una di queste isole di plastica. Come ti sentiresti?","What does increase more your awareness around an issue? Knowing all its worst consequences or all the best things after overcoming that? /  Che cosa aumenta di più la tua sensibilità su un problema? Sapere tutte le sue conseguenze peggiori o le cose migliori dopo la risoluzione?","What does make you feel more unconfortable in a claustrophobic situation? / Che cosa ti da una sensazione maggiore di claustrofobia? ","Would you like to try any virtual trips (for example 4D experience) in order to increase awareness about this topic?/ Ti piacerebbe provare dei viaggi virtuali di sensibilizzazione su questo tema (per esempio un'esperienza 4D)?","How much intense can be the virtual unconfortable experience you would like to have? (claustrophobic for example) / Quanto intensa può essere l'esperienza virtuale di disagio che vorresti avere? (Claustrofobica per esempio)"
"2021/03/23 10:10:01 PM EET","26","3","4","Maybe (Forse)","Utensili per la cucina ","Come oggi, se non peggio","Amareggiata","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","1"
"2021/03/23 10:11:28 PM EET","23","3","4","Yes (Sì)","Giochi per bambini","Purtroppo, sempre più inquinato","Triste","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/23 10:15:09 PM EET","26","3","5","Yes (Sì)","Bottiglie ","Poveri di pesci ","Male","The worst things (Le cose peggiori)","Other (Altro)","Yes (Sì)","1"
"2021/03/23 10:17:15 PM EET","26","2","5","Maybe (Forse)","Oggetti di design o il suo reimpiego nell’edilizia","Se non verranno prese misure adeguate, diventerà un’enorme discarica di rifiuti di vario genere ","Mi sentirei perso ","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/23 10:17:18 PM EET","22","4","5","Yes (Sì)","The recycled plastic could be used for the 3D printer","I really hope that our oceans will be free from plastic, but to do that we have to clean them and also putting compulsory the recycling bin","I can feel uncomfortable ","The best things (Le cose migliori)","Other (Altro)","Yes (Sì)","3"
"2021/03/23 10:19:22 PM EET","25","3","4","Yes (Sì)","i would like to reuse plastic to make containers (bottles or such)","if we continue on this way they will probably very polluted and the life in them will be the totally ruined","disgusted","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/23 10:24:32 PM EET","23","3","4","Yes (Sì)","Abiti, nuova plastica, oggetti di arredamento, oggetti di cancelleria","Drammatico se la situazione non viene migliorata","Snaturat*","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","3"
"2021/03/23 10:28:26 PM EET","23","2","4","Yes (Sì)","Probably, it could be used by the great Companies that produce plastic bottles (drink)","Probably we will see a decrement of some sea creatures","Guilty ","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/23 10:30:02 PM EET","22","3","4","Yes (Sì)","Altri recipienti per ogni cosa in modo da avere un ciclo infinito","Puliti almeno per la maggior parte ","Smarrito ","The best things (Le cose migliori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","3"
"2021/03/23 10:34:44 PM EET","25","1","4","Yes (Sì)","","","","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/23 10:44:44 PM EET","29","4","5","Yes (Sì)","I rather say that I would like non recyclable plastic to be completely dismissed","Compromised","Helpless","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/23 10:57:15 PM EET","29","3","5","Yes (Sì)","Contenitori per cibo- portafrutta - sacchetti per la spesa- ","Più pulito, per permettere alla flora e alla fauna marina, di mantenere in buona salute l'ecosistema ","","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/23 10:59:39 PM EET","60","3","5","Yes (Sì)","Riutilizzo in campo energetico ","Pulito","Male","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","2"
"2021/03/23 11:08:16 PM EET","34","5","5","Yes (Sì)","Tutto ciò che si possa realizzare con la plastica riciclata per dargli infinita vita ","Inquinati al massimo!","Male ","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","1"
"2021/03/23 11:14:00 PM EET","31","4","5","Yes (Sì)","Tutto","Devastato","Morto","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/23 11:14:27 PM EET","29","3","5","Yes (Sì)","Qualsiasi cosa di riesca a fare","Non particolarmente roseo","Terrorizzato su diversi livelli","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","1"
"2021/03/23 11:19:12 PM EET","34","3","4","Yes (Sì)","Oggetti di uso quotidiano","Spero piu puliti di oggi","Male","The worst things (Le cose peggiori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","2"
"2021/03/23 11:21:27 PM EET","23","3","4","Maybe (Forse)","Qualsiasi cosa che sia fattibile con questo materiale, l'importante è non sprecare appunto.","Aumento della plastica in mare.","A disagio.","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","4"
"2021/03/23 11:26:23 PM EET","24","4","4","Yes (Sì)","","Sempre più colmo di rifiuti","soffocato","The worst things (Le cose peggiori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","5"
"2021/03/23 11:26:37 PM EET","34","4","5","Maybe (Forse)","Bottiglie","Non so se ci svegliamo magari qualche cosa si può fare ","Male","The best things (Le cose migliori)","Other (Altro)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","3"
"2021/03/23 11:33:40 PM EET","34","5","3","Yes (Sì)","Abiti","Pulito","Male","The worst things (Le cose peggiori)","Other (Altro)","No (No)","4"
"2021/03/23 11:43:46 PM EET","35","5","5","Maybe (Forse)","Dispositivi medici","Non positivo","Dispiaciuto nei confronti della natura","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/23 11:43:50 PM EET","24","4","4","Yes (Sì)","","Sempre più colmo di rifiuti","soffocato","The worst things (Le cose peggiori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","5"
"2021/03/23 11:44:50 PM EET","22","3","5","Maybe (Forse)","","","","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","2"
"2021/03/23 11:59:35 PM EET","24","3","4","Maybe (Forse)","","","Terrible","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/24 12:12:00 AM EET","27","4","5","Yes (Sì)","Oggetti di uso comune: sedie per bar, carrelli spesa, etc...","Non roseo, vedendo l'andazzo.","Male, schifata, triste.","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","3"
"2021/03/24 12:12:31 AM EET","30","4","2","I don't care (Non mi interessa)","Nulla","Pieno di plastica","Alla grande","The best things (Le cose migliori)","Absence of horizon (Assenza di orizzonte)","No (No)","1"
"2021/03/24 12:18:20 AM EET","27","3","5","Yes (Sì)","Giocattoli, flaconi di skincare o detersivi ","Spero più puliti ","Sola, costretta","The best things (Le cose migliori)","Other (Altro)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","4"
"2021/03/24 12:18:25 AM EET","27","2","4","Maybe (Forse)","Vestiti","Non roseo ","Imprigionato ","The best things (Le cose migliori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","4"
"2021/03/24 12:25:57 AM EET","27","2","3","Yes (Sì)","oggetti per la casa scarpe abiti","spero meno inquinato","","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/24 12:30:58 AM EET","32","3","4","Yes (Sì)","Qualunque cosa si possa fare","Sempre più pieni di spazzatura ","Triste e in colpa","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/24 12:49:23 AM EET","34","5","5","Yes (Sì)","Tutto ciò che si possa realizzare con la plastica riciclata per dargli infinita vita ","Inquinati al massimo!","Male ","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","1"
"2021/03/24 1:37:07 AM EET","29","5","4","Maybe (Forse)","Se se guarda ad un futuro elettrico per le auto e quindi non ad alta velocità, perché non ipotizzare delle carrozzerie per auto, leggere ed a basso impatto ambientale.","Se continua così sempre più inquinati. ","Sicuramente proverei una sensazione di disagio e tristezza allo stesso tempo. ","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/24 6:47:35 AM EET","38","3","5","Yes (Sì)","Prodotti non alimentari","Pessimo","Malissimo","The worst things (Le cose peggiori)","Other (Altro)","Yes (Sì)","5"
"2021/03/24 7:10:27 AM EET","70","5","5","Yes (Sì)","Giochi per  bambini ","Puliti","Sporca","The best things (Le cose migliori)","Other (Altro)","No (No)","5"
"2021/03/24 7:48:36 AM EET","30","1","5","Maybe (Forse)","Bottiglie, indumenti, utensili da cucina e tutto quello che è possibile fare","Dipende da come ci comportiamo. ","Arrabbiata","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/24 8:25:40 AM EET","27","4","5","Yes (Sì)","Il maggior numero di cose","Senza pesce ","Colpevole","The best things (Le cose migliori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","3"
"2021/03/24 8:47:44 AM EET","30","4","5","Yes (Sì)","Strumenti che possano durare negli anni, no usa e getta","Se contininuiamo così, l'oceano Pacifico diventerà un nuovo continente fatto di rifiuti","Disagiato","The best things (Le cose migliori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","5"
"2021/03/24 8:49:52 AM EET","27","3","5","Yes (Sì)","Oggetti di uso quotidiano(es. Elettrodomestici)","Tossico per gli uomini e per la natura.","Arrabbiata","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","No (No)","4"
"2021/03/24 9:33:00 AM EET","24","5","5","Maybe (Forse)","Plastic composite bricks can be useful for construction purpose.","Big Corporates dump their wastes near the oceans of poor countries. They target poor countries because they won't patrol regularly and it's very convenient for them to dispose their waste avoiding any formalities and unnecessary questions. Please research into this topic to gather more information about e-wastes and plastics. 
https://ourworld.unu.edu/en/toxic-e-waste-dumped-in-poor-nations-says-united-nations 

https://www.pri.org/stories/2016-01-13/5-countries-dump-more-plastic-oceans-rest-world-combined?amp","","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/24 9:41:52 AM EET","51","5","4","Maybe (Forse)","","In miglioramento se controllati","Impotente","The best things (Le cose migliori)","Other (Altro)","No (No)","4"
"2021/03/24 10:08:17 AM EET","32","2","3","Yes (Sì)","Non saprei ","Sempre più inquinato","Male","The worst things (Le cose peggiori)","Other (Altro)","No (No)","3"
"2021/03/24 10:09:47 AM EET","25","3","3","Maybe (Forse)","","Come ora","","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","2"
"2021/03/24 10:16:28 AM EET","59","4","5","Maybe (Forse)","Fare studi per sostituire tutto cio che e' inutilmente utilizzato con la plastica e Realizzare impianti che possano riciclare la plastica per sostituire altri materiali inquinanti","Inquinati di tutto ciò  l' uomo non riesca a smaltire","Alla deriva senza alcuna possibilita di sopravvivenza","The best things (Le cose migliori)","Other (Altro)","Yes (Sì)","3"
"2021/03/24 10:29:16 AM EET","60","5","5","Yes (Sì)","Automobili","Pulito","Male","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/24 10:44:45 AM EET","31","4","5","Yes (Sì)","Tutto ciò che è possibile","Non ne ho idea, in questo momento ho molta paura per il futuro del nostro mondo e di tutte le specie viventi","Uno schifo, come il risultato dell’operato del genere umano","The best things (Le cose migliori)","Other (Altro)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","5"
"2021/03/24 11:06:22 AM EET","26","4","5","Yes (Sì)","Involucri e confezioni di prodotti per la cura della persona","Poco limpido","Galleggiante","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/24 12:01:15 PM EET","31","4","5","Yes (Sì)","Energia","Terribile se non cambia qualcosa oggi","Sopraffatto","The worst things (Le cose peggiori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","4"
"2021/03/24 12:18:19 PM EET","28","5","5","Maybe (Forse)","Oggetti che possano essere a loro volta riciclati ","Non credo che il problema si riuscirà a risolvere facilmente, non vedo un futuro roseo, non nell'immediato almeno","Male","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/24 12:29:56 PM EET","28","3","5","Yes (Sì)","","Ripuliti","Arrabbiata","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/24 12:36:15 PM EET","33","5","5","No (No)","Arredamento interni, automobili, barche, arredo urbano e tanto altro","Peggio di così se non interveniamo subito","Perso","The best things (Le cose migliori)","Other (Altro)","Yes (Sì)","5"
"2021/03/24 12:48:15 PM EET","27","3","5","Yes (Sì)","Giocattoli, flaconi di skincare o detersivi ","Spero più puliti ","Sola, costretta","The best things (Le cose migliori)","Other (Altro)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","4"
"2021/03/24 12:52:49 PM EET","25","4","4","Yes (Sì)","","","","The worst things (Le cose peggiori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","3"
"2021/03/24 1:02:28 PM EET","27","2","4","Maybe (Forse)","Vestiti","Non roseo ","Imprigionato ","The best things (Le cose migliori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","4"
"2021/03/24 1:05:19 PM EET","26","4","5","Yes (Sì)","Oggetti di tutti i tipi ","Piuttosto drammatico, se non cambiano le cose. ","Molto probabilmente mi sentirei disgustata","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","4"
"2021/03/24 1:12:09 PM EET","24","4","4","Yes (Sì)","Dispositivi informatici","","In ansia","The best things (Le cose migliori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","2"
"2021/03/24 1:15:18 PM EET","54","5","5","Yes (Sì)","Indumenti, altri oggetti di uso comunebrutto","Brutto","Una persona brutta","The worst things (Le cose peggiori)","Other (Altro)","No (No)","5"
"2021/03/24 1:15:24 PM EET","59","5","5","Yes (Sì)","Indumenti, altri oggetti di uso comune","Brutto","Spaesato","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","1"
"2021/03/24 1:29:39 PM EET","21","5","5","Yes (Sì)","","","","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/24 1:39:22 PM EET","22","4","5","Yes (Sì)","Bottles, pen, bags,...","I hope they could be clean. But most propably they will be really dirty.","It would be a nice experience in order to realice the real problem.","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/24 1:39:31 PM EET","23","4","4","Yes (Sì)","Oggetti per gli studenti! ","Male... ","Oppressa e spaventata ","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","3"
"2021/03/24 1:44:43 PM EET","25","4","3","Yes (Sì)","Road","Worse","Irritated","The worst things (Le cose peggiori)","Im not Claustrophobia","Yes (Sì)","2"
"2021/03/24 1:47:11 PM EET","23","4","5","Yes (Sì)","Building parts (brocs...)","","","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/24 2:06:02 PM EET","27","4","5","Yes (Sì)","Tutto","Non buono ","A disagio","The worst things (Le cose peggiori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","5"
"2021/03/24 2:15:49 PM EET","21","2","5","Maybe (Forse)","Mats, shopping bags","Worse if people do not take it seriously","","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","1"
"2021/03/24 2:16:42 PM EET","62","5","5","Yes (Sì)","Oggetti quodidiani riciclabili.","Letale","Disperato","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","2"
"2021/03/24 2:32:40 PM EET","71","5","5","Yes (Sì)","case, mobili","mi auguro liberi da plastica","a galla","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","1"
"2021/03/24 2:34:55 PM EET","68","5","5","Yes (Sì)","Cose utili per la nostra vita quotidiana","Non lo vedo bene il futuro degli oceani se si continua ad inquinare i mari","Vorrei scappare ....","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","4"
"2021/03/24 2:34:58 PM EET","25","5","5","Maybe (Forse)","Everyday objects","I imagine an untouchable and cleaned ocean","Stuck and oppressed ","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","4"
"2021/03/24 2:37:29 PM EET","25","5","5","Yes (Sì)","Condom ","Più acqua e plastica, meno pesci","Assolato disidratato","The worst things (Le cose peggiori)","Uno spazio che si restringe","Yes (Sì)","5"
"2021/03/24 2:46:00 PM EET","79","5","5","Yes (Sì)","I bicchieri e bottiglia ","Pulito","Male","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","4"
"2021/03/24 2:46:42 PM EET","41","5","5","Yes (Sì)","Non so","Pieni di plastica se non ci diamo una regolata ","Male","The best things (Le cose migliori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","3"
"2021/03/24 3:03:25 PM EET","23","5","5","Yes (Sì)","","","","The best things (Le cose migliori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","5"
"2021/03/24 3:12:07 PM EET","24","5","5","Yes (Sì)","Qualsiasi oggetto che si possa produrre con plastica riciclata andrebbe bene","Sempre più inquinato","Morto","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/24 3:20:50 PM EET","69","5","5","Yes (Sì)","Pulire in modo concreto le spiagge","Se si continua ad ignorare il problema sempre peggio","Una nullità ","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","5"
"2021/03/24 3:25:38 PM EET","52","3","5","Yes (Sì)","Oggetti importanti","Pulito","Male","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/24 3:54:20 PM EET","24","3","5","Yes (Sì)","Arredi","Il più pulito possibile ","Disorientato ","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","1"
"2021/03/24 4:40:18 PM EET","70","5","5","Yes (Sì)","Qualunque cosa","Pulito","Perso","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","1"
"2021/03/24 5:04:59 PM EET","69","4","5","Yes (Sì)","Anche cose di uso comune che sicuramente contribuirebbe a riciclare tantissima plastica","Se non non c'è una rapida inversione di tendenza l vedo nera.","Non lo voglio nenche pensare e spero che non accada","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","1"
"2021/03/24 5:10:33 PM EET","72","5","5","Yes (Sì)","Altra plastica","Migliore ","Perso","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","2"
"2021/03/24 5:27:20 PM EET","33","4","5","Yes (Sì)","Tutto","Se la situazione non cambia, l'immagino molto tragico ","carico di rabbia e triste","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","3"
"2021/03/24 5:43:25 PM EET","22","4","5","Yes (Sì)","","Male, lo immagino moolto male ","Angosciato, schifato ","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/24 5:50:30 PM EET","34","3","5","Yes (Sì)","","","","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","No (No)","3"
"2021/03/24 6:24:15 PM EET","27","2","3","Yes (Sì)","Oggetti di uso comune, in ambito domestico e non","Immagino i nostri oceani sempre più inquinati, con grave danno per flora e fauna marine","In trappola","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/24 7:02:31 PM EET","42","2","5","Yes (Sì)","soprammobili oggettistica varia ","spero migliore di ora ","arrabbiata e triste ","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","3"
"2021/03/24 7:09:14 PM EET","68","3","5","Yes (Sì)","Oggettistica","Spero migliore ","Male","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
